
# Phrasal verbs
global (adj);(thuộc) toàn cầu (ảnh hưởng, phạm vi)
worldwide (adj);(thuộc) toàn cầu (diễn biến, tồn tại)
plain (n);đồng bằng
land (n);đất đai
field (n);cánh đồng
desert (n);sa mạc
extinct (adj);tuyệt chủng
endangered (adj);bị đe dọa tuyệt chủng
recycle (v);tái chế
reuse (v);tái sử dụng
call for;kêu gọi, cần/ yêu cầu
call off;hủy
clear up;(thời tiết) trở nên quang đãng và sáng sủa hơn
cut off;làm cô lập/ ngắt kết nối
die down;giảm bớt, mất dần
do up;trang trí lại
face up to;đối mặt với
get (sb) down;khiến ai đó buồn, thất vọng
put down to;đổ lỗi
put out;dập tắt
set in;bắt đầu và sẽ tiếp diễn trong thời gian ngắn
stand for;đại diện, có nghĩa là/ chịu đựung, tha thứ
throw away;vứt bỏ


# Unit 18: Education and learning
take (v);thực hiện
pass (v);đỗ, đạt
read (v);đọc
study (v);học tập
test (n);bài kiểm tra
exam (n);kì thi
primary (adj);cấp tiểu học
secondary (adj);cấp trung học cơ sở
high [school] (adj);cấp trung học phổ thông
colleague (n);đồng nghiệp
classmate (n);bạn học cùng lớp
prefect (n);tổ trưởng, đội trưởng
pupil (n);học sinh
student (n);sinh viên
qualifications (n);bằng cấp
qualities (n);phẩm chất
count (v);đếm
measure (v);đo lường
degree (n);bằng cấp
certificate (n);chứng chỉ
results (n);điểm, kết quả thi
speak (v);nói (bằng ngôn ngữ nào đó)
talk (v);nói, nói chuyện
lesson (n);bài học
subject (n);môn học
achieve (v);đạt được (thành tựu)
reach (v);đạt đến (địa điểm, số lượng)
task (n);nhiệm vụ
effort (n);sự nỗ lực
know (v);biết
recognise (v);nhận ra
teach (v);dạy
learn (v);học
catch on;hiểu biết
come (a)round (to);bị thuyết phục nên thay đổi ý kiến
cross out;gạch bỏ
dawn on;chợt nhận ra
deal with;xử lý
drop out (of);rời khỏi (trường)
get at;cố gắng biểu lộ
get on with;tiếp tục làm gì
give in;buông xuôi
keep up with;bắt kịp
sail through;hoàn thành một cách dễ dàng
set out;mô tả, giải thích, làm rõ
think over;cân nhắc


# Unit 16: Food and drink
chop (v);chặt, băm
slice (v);thái lát
grate (v);mài, nạo
bake (v);nướng (bằng lò)
grill (v);nướng (trên vỉ)
fry (v);rán, chiên
roast (v);quay
boil (v);luộc
cook (n);đầu bếp, người nấu ăn
cooker (n);nồi cơm điện
chef (n);đầu bếp
oven (n);cái lò
grill (n);vỉ nướng
hob (n);mặt bếp
kitchen (n);phòng bếp
cuisine (n);món ăn, phong cách ẩm thực
lunch (n);bữa trưa
dinner (n);bữa tối
plate (n);cái đĩa
bowl (n);cái bát
saucer (n);cái đĩa đựng tách
dish (n);món ăn
vegetable (n);rau
vegetarian (n);người ăn chay (kiêng thịt và cá)
vegan (n);người ăn chay (không ăn đồ có nguồn gốc động vật)
fast food (n);đồ ăn nhanh
takeaway (n);đồ ăn mua mang về
kettle (n);cái ấm đun nước
teapot (n);cái ấm trà
freezer (n);tủ trữ đông
fridge (n);tủ lạnh
frozen (adj);đông đá
freezing (adj);rất lạnh
mix (v);trộn
stir (v);khuấy trộn (đồ ăn hoặc chất lỏng)
whisk (v);đánh (trứng, kem...)
soft drink (n);nước ngọt, nước không cồn
fizzy drink (n);nước ngọt có ga
menu (n);thực đơn
catalogue (n);quyển danh mục liệt kê
drop in (on);ghé thăm, tạt qua
get on for;gần tới
go off;ôi thiu
go on;tiếp diễn/ tiếp tục bằng việc gì
go/come round;đến thăm nhà
keep on;tiếp tục
leave out;loại bỏ
put off;khiến ai đó mất hứng thú
run into;tình cờ gặp
run out of;hết, cạn kiệt
take to;bắt đầu thích/ bắt đầu (một thói quen)
try out;thử nghiệm
turn out;hóa ra là
turn up;xuất hiện (đột ngột)


# Unit 14: Health and fitness
prescription (n);đơn thuốc
recipe (n);công thức nấu ăn
operation (n);sự mổ xẻ, phẫu thuật
surgery (n);cuộc phẫu thuật
sore (adj);đau (thường do vết thương hoặc viêm)
hurt (v);cảm thấy đau
pain (n);cơn đau
illness (n);sự đau ốm, chứng bệnh
disease (n);bệnh
injured (adj);bị thương
damaged (adj);bị hủy hoại
thin (adj);gầy
slim (adj);mảnh khảnh
remedy (n);biện pháp cứu chữa
cure (n);sự điều trị
effect (n);sự tác động, ảnh hưởng
result (n);kết quả
healthy (adj);khỏe mạnh
fit (adj);khỏe khoắn, có thể tập luyện
examine (v);kiểm tra
investigate (v);điều tra
infection (n);sự lây nhiễm
pollution (n);sự ô nhiễm
plaster (n);băng dán vết thương
bandage (n);băng gạc
ward (n);phòng bệnh, khu vực cho bệnh nhân
clinic (n);phòng khám
dose (n);liều (thuốc)
fix (n);liều dùng (thuốc) thông thường
fever (n);bệnh sốt, cơn sốt
rash (n);sự mẩn ngứa, chỗ mẩn đỏ
break out;(chiến tranh, hỏa hoạn) bùng phát
bring on;gây ra (bệnh tật)
come down with;bắt đầu bị (bệnh)
come round/to;tỉnh lại
cut down (on);bớt làm việc gì/ giảm bớt lượng
feel up to;cảm thấy đủ sức để làm
get over;vượt qua (bệnh tật)
give up;từ bỏ, ngừng
look after;chăm sóc
pass out;đột nhiên bất tỉnh
pull through;sống sót
put down;giết (con vật già/ốm)
put on;tăng (cân)
wear off;mất tác dụng


# Unit 12: The law and crime
proof (n);chứng cớ, bằng chứng
evidence (n);chứng cớ, bằng chứng
suspect (v);nghi ngờ, hoài nghi
arrest (v);bắt giữ
charge (v);buộc tội
suspect (n);kẻ tình nghi, nghi phạm
accused (n);bị cáo
decision (n);quyết định
verdict (n);phán quyết
commit (v);mắc phải, gây tội
break (v);phá (luật)
rule (n);luật lệ, nguyên tắc
law (n);luật , bộ luật
justice (n);sự công bằng
right (n);quyền
judge (n);quan tòa
jury (n);bồi thẩm đoàn
prosecute (v);công tố viên
persecute (v);ngược đãi
capital punishment (n);án tử hình
corporal punishment (n);án phạt đánh
robber (n);kẻ cướp
burglar (n);kẻ trộm (đột nhập vào nhà)
thief (n);kẻ trộm
vandal (n);kẻ phá hoại tài sản
hooligan (n);tên du côn, lưu manh
sentence (v);kết án
imprison (v);tống giam
innocent (adj);vô tội
guilty (adj);có tội
witness (n);nhân chứng
bystander (n);người ngoài cuộc
lawyer (n);luật sư
solicitor (n);luật sư, cố vấn pháp luật
back down;ngưng đòi hỏi
break out;thoát khỏi (nhà tù)
bring in;thực thi
chase after;đuổi theo
come forward;đề nghị giúp đỡ/ đưa thông tin
get away with;thoát tội
go off;nổ (súng)
hand in;trao quyền
hold up;cướp (có vũ trang)/ trì hoãn
let off;bỏ qua/ khiến cho (bom) nổ
look into;điều tra
make off;thoát khỏi
take down;ghi lại
take in;lừa dối


# Unit 10: People and society
relationship (n);mối quan hệ
